ID,Prediction
1,0.967577222965
2,0.832139520929
3,0.967931798154
4,0.35412663574
5,0.692372340223
6,0.456056087047
7,0.842718820657
8,0.986665421523
9,0.839900221987
10,0.915758357349
11,0.999999947814
12,0.97904503973
13,0.777070754511
14,0.99835154017
15,0.99999999631
16,0.822961314094
17,0.999999996228
18,0.555714911999
19,0.0926167656324
20,0.138589905653
21,0.346616928367
22,0.999999143371
23,0.847969240838
24,0.353267404724
25,0.723708649621
26,0.982163358407
27,0.847665354619
28,0.999999998799
29,0.999999905295
30,0.999998802622
31,0.559612607177
32,0.996785004996
33,0.999999999984
34,0.999999729866
35,0.999999312087
36,0.894814920033
37,0.206009111783
38,0.314702072956
39,0.921673553781
40,0.531119618918
41,0.995976648821
42,0.6312837607
43,0.128103862639
44,0.962043036699
45,0.801792917857
46,0.955244505561
47,0.998465146226
48,0.99999997502
49,0.999999999989
50,0.785346356863
51,0.999994282807
52,0.511740267159
53,0.999999875821
54,0.994492853499
55,0.999999999988
56,0.123391647044
57,0.837896565928
58,0.285442876844
59,0.999999998558
60,0.89651782524
61,0.839175658755
62,0.601728946724
63,0.998956765084
64,0.974595160356
65,0.999999983924
66,0.999999999983
67,0.999999662557
68,0.99999960849
69,0.447944526329
70,0.232128707908
71,0.0853264085759
72,0.243822693875
73,1.0
74,0.999999887902
75,0.495111019751
76,0.668477932656
77,0.999999637586
78,0.897275718005
79,0.72378818198
80,0.998354267828
81,0.734381080001
82,0.438869111087
83,0.507432371675
84,0.984856068087
85,0.999998490475
86,0.222722742267
87,0.986664304199
88,0.999998476282
89,0.997293578583
90,0.441149431721
91,0.99999971436
92,0.893545032025
93,0.995309674272
94,0.999999999926
95,0.720756229552
96,0.31565063697
97,0.882334933778
98,0.322246692421
99,0.97346203307
100,0.907969226587
101,0.991623604795
102,0.997803951504
103,0.998518006581
104,0.450158287196
105,0.986666367518
106,0.994116300437
107,0.318474096897
108,0.986666590883
109,0.999999355664
110,0.979176309251
111,0.999999252999
112,0.999138290713
113,0.99999998953
114,0.817857190326
115,0.693797807183
116,0.998387275763
117,0.355486650882
118,0.9566867044
119,0.999999999979
120,0.986666356636
121,0.999999926477
122,0.999999999807
123,0.999999904221
124,0.9915101258
125,0.910029697848
126,0.99911059803
127,0.999999991854
128,0.954225091276
129,0.999999999384
130,0.58240723667
131,0.99999957083
132,0.989162375423
133,0.999999973844
134,0.99999712464
135,0.998834786761
136,0.999999999977
137,0.725840891558
138,0.361382436516
